sku,Collection,Type,Handle,Variant Name,Variant Price,In Stock,URL,Image Src,Body
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 14 - Forever Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-14-800x1167.jpg?v=1571438799,
ion 2016 -Design 11 - Gypsy,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 11 - Gypsy,Default Title,2775.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-11-gypsy,https://cdn.shopify.com/s/files/1/0666/3041/products/d11-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 11 - Gypsy,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-11-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 11 - Gypsy,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d11-back-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 11 - Gypsy,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-11B-800x1167.jpg?v=1571438799,
'-Design 8 - Ornamental Vase,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 8 - Ornamental Vase,Default Title,2525.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-8-ornamental-vase,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-8-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 8 - Ornamental Vase,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-8B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 8 - Ornamental Vase,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d08-back-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 8 - Ornamental Vase,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-8C-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 8 - Ornamental Vase,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d08-800x1167.jpg?v=1571438799,
