Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,193.92999267578125,194.72999572753906,192.2100067138672,193.05999755859375,192.12001037597656,1135800
2020-08-06,191.77999877929688,196.39999389648438,191.5399932861328,195.77000427246094,195.77000427246094,1388400
2020-08-07,195.07000732421875,199.35000610351562,195.07000732421875,198.99000549316406,198.99000549316406,1375400
2020-08-10,201.0,204.61000061035156,200.42999267578125,204.5,204.5,1942700
2020-08-11,206.77000427246094,211.72000122070312,205.77999877929688,206.0800018310547,206.0800018310547,1891800
2020-08-12,207.0,208.35000610351562,204.80999755859375,204.85000610351562,204.85000610351562,1397800
2020-08-13,203.77000427246094,205.1699981689453,203.1199951171875,204.3800048828125,204.3800048828125,806900
2020-08-14,204.25,208.3000030517578,203.4499969482422,206.61000061035156,206.61000061035156,977800
2020-08-17,207.33999633789062,209.9600067138672,206.61000061035156,208.35000610351562,208.35000610351562,998900
2020-08-18,208.9499969482422,209.24000549316406,205.58999633789062,206.3300018310547,206.3300018310547,934900
2020-08-19,207.25,207.8699951171875,205.32000732421875,205.39999389648438,205.39999389648438,800100
2020-08-20,204.0800018310547,207.44000244140625,203.1300048828125,206.22999572753906,206.22999572753906,770700
2020-08-21,206.30999755859375,209.7100067138672,205.1300048828125,208.92999267578125,208.92999267578125,1573400
2020-08-24,212.1199951171875,212.33999633789062,209.72999572753906,212.22000122070312,212.22000122070312,763600
2020-08-25,212.5,214.27999877929688,211.52000427246094,213.6199951171875,213.6199951171875,1099200
2020-08-26,212.52999877929688,214.35000610351562,211.00999450683594,213.0800018310547,213.0800018310547,829800
2020-08-27,213.22999572753906,214.52000427246094,212.22000122070312,212.85000610351562,212.85000610351562,750600
2020-08-28,213.4499969482422,215.3699951171875,212.5800018310547,215.02999877929688,215.02999877929688,677500
2020-08-31,214.83999633789062,217.0,212.33999633789062,212.52999877929688,212.52999877929688,1151000
2020-09-01,212.42999267578125,215.85000610351562,210.72000122070312,215.3000030517578,215.3000030517578,973700
2020-09-02,215.05999755859375,216.52999877929688,213.0399932861328,214.36000061035156,214.36000061035156,1855100
2020-09-03,217.00999450683594,217.00999450683594,209.1300048828125,210.58999633789062,210.58999633789062,1485400
2020-09-04,212.66000366210938,214.0,206.92999267578125,209.10000610351562,209.10000610351562,1357200
2020-09-08,207.8800048828125,209.35000610351562,205.5399932861328,206.75,206.75,1566900
2020-09-09,208.72999572753906,215.52999877929688,208.16000366210938,212.3000030517578,212.3000030517578,3595500
2020-09-10,212.9199981689453,215.0,211.77999877929688,213.1699981689453,213.1699981689453,1303700
2020-09-11,213.99000549316406,219.1300048828125,213.77999877929688,217.5500030517578,217.5500030517578,1720800
2020-09-14,219.5399932861328,221.47000122070312,218.75,220.2899932861328,220.2899932861328,1516400
2020-09-15,220.5,222.97999572753906,219.4600067138672,222.02999877929688,222.02999877929688,926100
2020-09-16,224.0399932861328,224.99000549316406,220.64999389648438,220.91000366210938,220.91000366210938,1121900
2020-09-17,217.72999572753906,224.67999267578125,215.07000732421875,222.94000244140625,222.94000244140625,1070300
2020-09-18,222.49000549316406,224.3000030517578,220.17999267578125,221.02999877929688,221.02999877929688,1770000
2020-09-21,217.1999969482422,218.60000610351562,210.82000732421875,214.30999755859375,214.30999755859375,1279700
2020-09-22,215.24000549316406,217.19000244140625,214.4199981689453,216.38999938964844,216.38999938964844,973100
2020-09-23,217.7100067138672,220.3300018310547,211.89999389648438,213.42999267578125,213.42999267578125,1475400
2020-09-24,213.17999267578125,217.25999450683594,211.36000061035156,214.42999267578125,214.42999267578125,939000
2020-09-25,215.11000061035156,219.67999267578125,214.42999267578125,219.16000366210938,219.16000366210938,946900
2020-09-28,221.91000366210938,222.82000732421875,219.8000030517578,221.02000427246094,221.02000427246094,1129900
2020-09-29,220.5,221.49000549316406,215.8000030517578,215.80999755859375,215.80999755859375,1535900
2020-09-30,217.52999877929688,219.0,212.85000610351562,213.99000549316406,213.99000549316406,1669500
